CASE_ID,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_AGE,VICTIM_SEX,severity_1_4
5929477,1,1,60,M,1
5929486,1,1,19,M,1
5929486,1,1,31,F,1
5930038,1,3,10,F,1
5930038,1,3,9,M,2
5930568,1,1,72,M,1
5930588,1,1,24,F,2
5930588,1,1,56,F,3
5930603,1,1,34,F,1
5930611,1,2,7,M,2
5930611,2,1,36,F,1
5930706,1,3,23,M,1
5930710,1,1,19,F,2
5930812,1,1,25,M,2
5930812,2,2,23,F,2
5930820,1,2,45,M,1
5930820,1,1,41,F,1
5930820,2,2,33,F,1
5930820,3,2,11,M,1
5930820,4,2,11,F,1
5930854,1,1,61,M,1
5930858,1,1,23,M,2
5930858,2,2,20,M,1
5930858,3,2,2,F,1
5932147,1,1,43,F,1
5932154,1,2,47,M,1
5932154,1,1,36,F,2
5932154,1,1,19,M,2
5932154,2,2,6,F,1
5932154,2,2,8,M,1
5932154,3,2,9,F,1
5932154,3,2,28,M,1
5932154,4,2,3,F,1
5932154,4,2,10,F,1
5932202,1,2,12,M,2
5932202,2,2,9,M,1
5932202,3,2,12,M,1
5932769,1,1,25,M,2
5932789,1,1,42,M,2
5933732,1,2,24,F,1
5933732,1,1,41,M,1
5933732,2,2,5,F,2
5933732,3,2,998,F,1
5933732,4,2,6,F,1
5934016,1,2,17,M,2
5934814,1,1,45,F,1
5934830,1,1,35,F,1
5934830,1,2,30,F,1
5935004,1,1,25,M,1
5935016,1,1,26,M,1
5936215,1,2,71,F,1
5936215,2,2,72,M,1
5936215,3,2,64,M,1
5936624,1,1,63,F,1
5936657,1,1,46,M,1
5936657,2,2,17,F,1
5937004,1,1,44,M,1
5937008,1,1,22,M,1
5937012,1,1,62,F,1
5937595,1,2,18,M,1
5938265,1,1,46,M,1
5938269,1,1,59,M,1
5938273,1,1,70,F,2
5938273,1,2,35,F,1
5938273,2,2,3,F,1
5938273,3,2,6,M,1
5938277,1,1,35,M,1
5938277,2,2,35,M,1
5938461,1,1,41,M,1
5938586,1,1,52,F,1
5938594,1,5,16,M,2
5938594,1,2,47,F,1
5938599,1,1,29,F,1
